fecha,Crédito sector privado,Crédito hipotecario,Crédito consumo,Crédito en ME,Tasa activa (TAMN),Tasa referencia BCRP,Tipo de cambio S//$,PBI (índice),Demanda interna
2000-01-01,3.49977619047619,3.49945238095238,3.50157142857143,3.49733333333333,32.15,,3.49945238095238,,
2000-02-01,3.45502380952381,3.45595238095238,3.45771428571429,3.45419047619048,32.37,,3.45595238095238,,
2000-03-01,3.44285652173913,3.44286956521739,3.44491304347826,3.44082608695652,32.24,,3.44286956521739,,
2000-04-01,3.47873611111111,3.47888888888889,3.48072222222222,3.47705555555556,31.36,,3.47888888888889,,
2000-05-01,3.50406136363636,3.50331818181818,3.50513636363636,3.5015,30.86,,3.50331818181818,,
2000-06-01,3.48681666666667,3.48702380952381,3.48871428571429,3.48533333333333,31.15,,3.48702380952381,,
2000-07-01,3.4799575,3.480325,3.48195,3.4787,30.51,,3.480325,,
2000-08-01,3.47761818181818,3.47754545454545,3.47904545454546,3.47604545454545,30.02,,3.47754545454545,,
2000-09-01,3.48519047619048,3.48492857142857,3.4862380952381,3.48361904761905,27.91,,3.48492857142857,,
2000-10-01,3.50033409090909,3.50034090909091,3.50177272727273,3.49890909090909,27.74,,3.50034090909091,,
2000-11-01,3.52946666666667,3.52847619047619,3.52990476190476,3.52704761904762,27.12,,3.52847619047619,,
2000-12-01,3.51910789473684,3.51957894736842,3.52110526315789,3.51805263157895,26.52,,3.51957894736842,,
2001-01-01,3.52268181818182,3.52268181818182,3.52404545454546,3.52131818181818,25.86,,3.52268181818182,,
2001-02-01,3.52845,3.52845,3.52955,3.52735,25.16,,3.52845,,
2001-03-01,3.51979545454545,3.51979545454545,3.52081818181818,3.51877272727273,24.93,,3.51979545454545,,
2001-04-01,3.56022368421053,3.55873684210526,3.56036842105263,3.5571052631579,25.41,,3.55873684210526,,
2001-05-01,3.60128636363636,3.60004545454545,3.60163636363636,3.59845454545455,25.75,,3.60004545454545,,
2001-06-01,3.5301625,3.5307575,3.532965,3.52855,26.09,,3.5307575,,
2001-07-01,3.50333095238095,3.50330952380952,3.50495238095238,3.50166666666667,26.63,,3.50330952380952,,
2001-08-01,3.49164545454545,3.49159,3.49328,3.4899,26.11,,3.49156818181818,,
2001-09-01,3.490115,3.490025,3.49115,3.4889,24.63,,3.490025,,
2001-10-01,3.45965,3.46006818181818,3.46140909090909,3.45872727272727,23.46,,3.46006818181818,,
2001-11-01,3.4391575,3.439575,3.4407,3.43845,22.72,,3.439575,,
2001-12-01,3.4353925,3.43536,3.436575,3.434145,22.99,,3.43536,,
2002-01-01,3.46061818181818,3.4595,3.461,3.458,23.1,,3.45975,,
2002-02-01,3.477045,3.4766,3.4777,3.4755,22.6,,3.4766,,
2002-03-01,3.45561315789474,3.45623684210526,3.45705263157895,3.45542105263158,20.7,,3.45623684210526,,
2002-04-01,3.43824545454545,3.43881818181818,3.43972727272727,3.43790909090909,19.9,,3.43881818181818,,
2002-05-01,3.45154318181818,3.45140909090909,3.45254545454545,3.45027272727273,19.9,,3.45140909090909,,
2002-06-01,3.48147368421053,3.48066578947368,3.4818947368421,3.47943684210526,19.9,,3.48066578947368,,
2002-07-01,3.53394761904762,3.53297619047619,3.53457142857143,3.53138095238095,19.92,,3.53297619047619,,
2002-08-01,3.5708380952381,3.57011904761905,3.57123809523809,3.569,19.5234572806934,,3.57011904761905,,
2002-09-01,3.61970952380952,3.61902380952381,3.62014285714286,3.61790476190476,20.408451862354,,3.61902380952381,,
2002-10-01,3.61435952380952,3.61499523809524,3.61641904761905,3.61357142857143,20.7380066002147,,3.61499523809524,,
2002-11-01,3.58254,3.583275,3.58435,3.5822,21.813803407588,,3.583275,,
2002-12-01,3.51409226190476,3.5142380952381,3.51528571428571,3.51319047619048,20.6805683121176,,3.5142380952381,,
2003-01-01,3.49349128787879,3.49395454545455,3.49477272727273,3.49313636363636,20.2908612102567,,3.49395454545455,74.9977524598527,71.8917601175842
2003-02-01,3.483975,3.48395,3.4847,3.4832,19.9519025283988,,3.48395,75.8793511302686,68.480129308043
