fecha,Crédito empresarial_log_diff,Crédito consumo_log_diff,Crédito hipotecario_log_diff,Tipo de cambio_log_diff,Índice BVL_log_diff,IPC Lima_log_diff,PBI desestacionalizado_log_diff,Demanda interna_log_diff,Reservas internacionales_log_diff,indice_precios_inmuebles_log_diff,Liquidez M1_log_diff,Liquidez M2_log_diff,Liquidez M3_log_diff,Tasa activa TAMN_diff,Tasa pasiva TIPMN_diff,Tasa referencia BCRP_diff,Tasa interbancaria_diff,embi_peru_diff
2008-03-31,0.07633395520778663,0.0669734975978038,0.04183270703443753,-0.03791400894637209,-0.13607997729851462,0.015104529371417819,0.03086773318572078,-0.01716004308199448,0.20226394372235923,0.021164811192043054,0.09744889193304118,0.048136321523980286,0.015943494460199048,0.9544494310345009,-0.12464395997700972,0.25,-0.09666666666666757,45.956410256410265
2008-06-30,0.05450669096393135,0.08036377704605613,0.05249342535425683,-0.026029193730998434,0.013667134503972278,0.016454563148782242,0.02190633763977523,0.11572539021204165,0.09269326399576983,0.13679830176987107,0.07111134178328271,0.08235028970239355,0.06421759986827347,0.21763834674327143,0.13304062675478656,0.33333333333333304,0.6362866666666669,-42.599999999999994
2008-09-30,0.07346581622311099,0.069221258597441,0.05744712607296165,0.030615518480868076,-0.28348896985366245,0.017689991147385342,0.010201099270295444,-0.0218162136275879,-0.014646761633642313,0.12031660681147649,0.023539575244537758,-0.052737158087094116,-0.010539530474352077,0.267077956666661,0.20092878211111342,0.666666666666667,0.656760666666667,31.113286713286698
2008-12-31,0.09150163833285951,0.04868441748726404,0.08104164808143999,0.06387127875994691,-0.5770023615800248,0.015093911096392354,-0.00045629423766957444,0.019479887412731323,-0.1044750142245725,0.02202291208743734,0.02274807902931819,-0.09531919243520903,-0.034175424042750535,-0.42424906777776883,0.23265121777777642,0.25,0.37761933333333264,306.7878787878788
2009-03-31,0.020936036046554918,-0.006919531813633029,0.08773756627067009,0.02984906099974971,0.058926479427393375,0.005180177614991344,-0.005437047743937384,-0.11016483797340104,-0.039665899297377294,-0.028114301480839377,-0.005115062698070716,0.025117708677317552,0.028639069177607723,-0.7242433333333302,0.15834333333333417,-0.25,-0.19999850333333313,-72.58049242424244
2009-06-30,0.01055004731107445,0.015282680951711924,0.024787348773203988,-0.052876506989089966,0.4680167574731815,0.0009175109320338493,-0.004127707487195487,0.057397912275919616,0.028541630460971135,0.0,-0.0026520817353912207,0.06662871016028049,0.03746493555537178,-1.6967333333333343,-0.6214666666666675,-2.25,-2.119188163333333,-127.52067307692306
2009-09-30,0.01562424220752412,0.018818500183233056,0.034155289109421005,-0.021942876951915213,0.17022157949676497,-0.002221518425968405,0.008978055898131387,-0.007126494124622518,0.03292913022591293,0.08395171116567424,0.0488087309316807,0.07927037679688453,0.05746477664266436,-0.7930500000000009,-1.0302566666666664,-2.5,-2.6504466666666664,-45.436713286713314
2009-12-31,0.029020911001014227,0.030870090565469965,0.04492677181545268,-0.02730111407227742,-0.015912805754805248,0.00025985549337992353,0.026614516118351084,0.06818891337349076,0.03383996935636269,0.013023439886286514,0.08089049284611427,0.06919396290423308,0.04627122479952028,-0.4318599999999968,-0.6538900000000003,-0.25,-0.3863458827333335,-70.06818181818181
2010-03-31,0.0405663856310543,0.01458731432210314,0.036646557591323514,-0.00978170446980653,0.024677384974259198,0.007775217318251926,0.02059933664013336,-0.025539889960620954,0.05034799463800077,0.09346004051616363,0.07871176214072229,0.04010274903304989,0.03013229355666347,-0.1560200000000016,-0.2687096666666666,0.0,-0.055394117266666765,-10.083806818181813
2010-06-30,0.06264766645498732,0.036187556713837665,0.04902058695813949,-0.003081762280124467,0.016903131423624984,0.005614218145599814,0.03401631721648091,0.10964051572596833,0.0036262611448076854,0.04284015867649238,0.047517269185414435,0.0404436102147443,0.032951681939149324,-0.5089600000000019,-0.05866033333333309,0.25,0.2793066666666668,6.1271634615384585
2010-09-30,0.014255549059047468,0.09933965222221275,0.05045825738847043,-0.012742935011023748,0.06511346282330877,0.007774823359238958,0.01116647514671687,0.005117980054705207,0.1443286890536708,0.027050177533025632,0.04518372524502823,0.06654929342178306,0.05634812714908577,-1.0220066666666625,0.26672666666666656,1.0,0.9107333333333332,-12.179720279720271
2010-12-31,0.01197686734607828,0.08064960804710708,0.0629863117060463,-0.0003245410825072348,0.2938249887951603,-9.10799266993223e-05,0.016757376412490643,0.04773438413826803,0.07816256165572533,0.018663061131927172,0.07812187982066732,0.09302289749373926,0.07629988502437435,0.5114999999999981,0.22093333333333343,0.5,0.6266333333333334,-16.54545454545456
2011-03-31,0.05754092293757651,0.04883661134704553,0.05913264378772887,-0.009048734046306128,0.06465464914622565,0.009998814247412113,0.016871567750597727,-0.05393137051790475,0.042832722548176605,0.07992417510657468,0.023699340637902466,0.024144021908778512,0.02474876548666849,-0.0840999999999994,0.1367999999999998,0.5,0.45943333333333314,-5.370738636363626
2011-06-30,0.08967288978116983,0.04960248564942127,0.06721989233151149,0.0021198029226516812,-0.11921202642211526,0.01288708523363713,0.008786055408266158,0.0691660898208486,0.022145928472518506,0.052643733485422395,0.018679473015533077,-0.014788521683957612,0.004899566392126076,-0.1092000000000013,0.3258333333333332,0.666666666666667,0.7343999999999999,41.03437500000001
2011-09-30,0.04038067231532949,0.03994107188271556,0.052131675600978866,-0.0156968326327791,0.015003786029808452,0.011364623132560148,0.014090211696404786,-0.012648669802122647,0.03015868233391572,0.05640839505432105,0.05830041149722476,0.025517527815736685,0.01670175537543095,0.11013333333333364,0.22606666666666708,0.08333333333333304,0.09406666666666741,-4.936363636363637
2011-12-31,0.0354908054103209,0.05150699865363073,0.059086410854645166,-0.011187238759467255,-0.03290424286183402,0.010025561956863882,0.01706711252125359,0.049242835777733696,0.01585598176826508,-0.0025542798050972593,0.04312466913553514,0.026081935456975458,0.02281388828154185,0.26810000000000045,0.024499999999999744,0.0,0.0014666666666665051,34.78251748251748
2012-03-31,0.03242402609983053,0.038632429598147056,0.05302408036015471,-0.010612763734170971,0.14595199639463807,0.006937306216656225,0.012855907592213889,-0.058450467719010746,0.0873095964236903,0.07154715129204803,0.03079295838515428,0.07528122951729088,0.054322975836354814,0.026833333333332376,-0.04579999999999984,0.0,-0.019600000000000506,-25.969230769230762
2012-06-30,0.03578706763096662,0.04008537196795814,0.05761214598066644,-0.006271176404810008,-0.06669854992818536,0.011598880077467122,0.016081588025758542,0.09869799205391061,0.07038502315741724,0.056695343676545384,0.030308140728461552,0.032035974078691964,0.0191253934265454,0.4572000000000038,-0.03803333333333336,0.0,0.002566666666666606,-16.892307692307696
2012-09-30,0.04607800649468352,0.03421571895825082,0.05993036960582998,-0.01805038083351973,-0.03615950057892903,0.00598337452904385,0.020614022833808754,0.01165556944675128,0.04174850154488574,0.026638645081064283,0.0503133964451532,0.02588346815825915,0.018780752835416692,0.0012333333333316432,-0.0024999999999999467,0.0,-0.005333333333332746,-30.25128205128206
2012-12-31,0.027960416448060244,0.03630616692499977,0.053730956509459915,-0.01290596790536469,-0.002446755631066111,0.00359984558769888,0.0037024262851570455,0.026548827162495847,0.05544180024008938,0.023810648693718406,0.05280264682461322,0.06362981410632962,0.045482130671334886,-0.16083333333333272,-0.034633333333333294,0.0,0.010699999999999932,-31.60909090909091
2013-03-31,0.010244940216216136,0.020278080759945638,0.04048933632972407,-0.00377395997680241,0.007174262934587006,0.004841102040028744,0.020085464967545263,-0.036984017808928016,0.06871552302866313,0.06720874969345036,0.04446855112793102,0.06021656088996252,0.046935573722533874,0.022033333333329352,-0.07603333333333318,0.0,-0.04600000000000026,9.357007575757578
2013-06-30,0.022332994899212366,0.02666101657648845,0.04151152983209094,0.03379336147642076,-0.2347731357053462,0.010406315069507066,0.012363146692946358,0.0729404523807613,-0.004254324719557445,0.01783991812833019,-0.0010816322910773835,0.004115979723009033,0.015106150990350287,-0.30569999999999453,-0.03333333333333366,0.0,0.040733333333332844,22.22644230769231
2013-09-30,0.04686309317808046,0.02489194606331857,0.03354591423986619,0.04498840378405988,-0.02611276744642943,0.011831784023366154,0.015049765143278826,-0.008786499207695364,-0.0035950163750158026,0.009775248904642986,0.01874486649546192,-0.0030726291841460807,0.019238461317273803,-0.8882666666666701,0.01933333333333298,0.0,0.13383333333333347,35.44786324786324
2013-12-31,0.041537449419625005,0.03670782525824379,0.030193069798972516,-0.0005421774648985966,-0.008725873799656725,0.0020043615891678357,0.016787369277691866,0.0345055320288008,-0.013251485149488929,-0.0038986404156577947,0.018145168417071034,0.022828908707221984,0.023612338571034286,-1.7622999999999998,-0.014666666666666384,-0.16666666666666696,-0.1989666666666663,-5.501010101010081
2014-03-31,0.018788333066677154,0.025654679921963464,0.0262833784998886,0.00899489597893588,-0.045078866885729596,0.009267354689193041,-0.0016467521384626593,-0.06134918603890771,-0.015904550600359002,0.04300710542559205,0.020300631554983184,0.018469000458717133,0.02529878154840759,-0.49416666666666664,-0.051200000000000134,-0.08333333333333304,-0.07056666666666711,-2.3764204545454675
2014-06-30,0.036268266714589714,0.028830909954306705,0.02877062351134896,-0.006233640871675439,0.05910661655770255,0.01138896539962797,-0.0039008829894910946,0.054021551442796856,-0.006498713148685553,0.041233509462184514,-0.011630093097165783,0.0193785959336239,0.011610962204530395,-0.07406666666666695,0.08286666666666687,0.0,-0.10009999999999941,-25.55504807692307
2014-09-30,0.023862048560822302,0.019492590879538696,0.025282187859568594,0.010562577964916553,0.044059079966077164,0.006095875875689494,0.007237132099553456,-0.00215253747383759,0.0046259837744955234,-0.04968823338111683,0.03135811936675381,0.03826660215465871,0.028206049939852207,0.10246666666666826,-0.0005999999999999339,-0.3333333333333335,-0.23413333333333375,2.0451048951048847
2014-12-31,0.013413982586936157,0.034189924767590085,0.029315476398707574,0.03802876929049215,-0.09475326803689832,0.004330247755182981,0.0075676439265146556,0.03332288563128394,-0.029963327512261273,0.0037664827954770885,0.04617110801358315,0.029266127477292514,0.03392755139103798,-0.22066666666666634,-0.05463333333333331,-0.16666666666666652,-0.1130333333333331,21.26515151515153
2015-03-31,0.0006003020729998809,0.02984608906854902,0.019168036151540946,0.042649367994889165,-0.14230276516843787,0.00729597100102275,0.008045732923546822,-0.051617573605723166,-0.017332013535863666,0.0,0.019036763174179683,0.021632183795221138,0.03385047252802309,0.4702666666666655,-0.06066666666666665,-0.25,-0.27973333333333317,16.885416666666657
2015-06-30,0.024933033914729563,0.04157253908047842,0.018229077746404698,0.02750790471904274,0.003324427402549901,0.01484046238368908,0.010536870531723252,0.06080577442245971,-0.020556642839839157,-0.012293299024638493,-0.027854858732649035,0.004106679598054441,0.01555811792448658,-0.04452222222223412,0.014222222222223468,0.0,0.09736666666666638,-16.487980769230774
2015-09-30,0.025447682397736315,0.026601275067017482,0.01359093137604006,0.02166646743859868,-0.20346707076313209,0.011182373141533475,0.004749469515646254,-0.010971111649916487,-0.0014910588037686523,-0.0038131600064144067,0.013445075137314078,-0.008816505201934888,0.011060222374334572,0.1298888888888996,0.03281111111110979,0.08333333333333348,0.10653333333333315,28.1555944055944
2015-12-31,0.018859790849880653,0.03719241579840471,0.020949800369530536,0.03361178753165395,-0.05520058954463103,0.0066414125555605,0.020087093145406243,0.03794703521294007,0.022126460358133926,-0.022212405271083924,0.04852528806408074,0.03383327443814821,0.044083311027250716,-0.026099999999999568,0.1253365591397868,0.25,0.015733333333333377,26.03787878787881
2016-03-31,0.003914686909409326,0.0217368564544973,0.014937788582676248,0.03769721153301209,0.05002513211217696,0.010975716083314602,0.008684048894612495,-0.0561544126496063,-0.02392045424170064,-0.01972450534777792,0.0026910156676116515,0.00980602203229708,0.02101660770648195,-0.0011666666666627634,0.15733010752687981,0.5833333333333335,0.8693000000000004,29.92960372960374
2016-06-30,0.00806030759878773,0.021581825267292132,0.018835784969537528,-0.0392874303915538,0.24417800114705912,0.006525352988854927,-0.0023781480006865863,0.04224768520275646,-1.857444867248148e-05,0.01776947051197464,-0.021682624374827597,0.02950625557085118,0.005042575534451643,-0.06960000000000477,0.09450000000000003,0.08333333333333304,-0.04133333333333322,-48.061538461538476
2016-09-30,0.010732242356930044,0.017345335097532555,0.015186755027386312,0.006233784337073001,0.10485013293407164,0.005517853575860876,0.019170884435549596,-0.0009367900571133347,0.016249334137059535,0.009737175277858334,0.043056586230440175,0.04336652265188867,0.0344170807406865,0.5046333333333344,0.05156666666666698,0.0,-0.18190000000000062,-32.72412587412589
2016-12-31,0.011410356127708354,0.025323167202801145,0.0011790246099767643,0.016846039942754576,0.011216448228188014,0.009735803896464112,0.0036904510242825594,0.0256928727239103,0.0034030959194861765,0.013474698583360478,0.02236624648930352,0.014601071456896264,0.013962481711885744,0.5087333333333355,-0.03716666666666679,0.0,0.06350000000000033,-16.675874125874117
2017-03-31,0.0023661253759197365,0.01600918942883567,0.01277968152526121,-0.03199034109643173,0.028917438323844635,0.012058010073904946,0.0018944916048555527,-0.07016355229019489,0.012310580805404925,0.008567401285298537,0.00024543566021151264,0.016840798335911344,0.007303925566521485,0.17210000000000036,0.044299999999999784,0.0,-0.056233333333334024,-9.784615384615392
2017-06-30,0.0038245969490180443,0.017844915764317903,0.017576699013261532,-0.007687903047910449,0.003890158334515448,0.0037516465144538103,0.00782634723886666,0.05139172162457317,0.008834038832713276,-0.016244982184333345,0.009297487257379444,0.026662307923237094,0.01624360011740933,-0.35230000000000317,0.006133333333333546,-0.16666666666666696,-0.1257333333333328,-5.630769230769232
2017-09-30,0.016229379388644105,0.018007667906024594,0.018326721539892787,-0.005275957145698396,0.09516825607222223,0.003920375023501954,0.014098749286651113,0.015107106167255857,0.0021260080064049447,0.018138922144403935,0.04276708653089578,0.03874722979350764,0.03229486388884517,-0.010799999999999699,-0.07100000000000017,-0.4166666666666665,-0.3959999999999999,4.477622377622396
2017-12-31,0.022444305146780863,0.03015140223539703,0.03252293497170555,0.00012672484527609384,0.12722633974562214,-0.0033736747137513845,-0.0006320455145027992,0.042859653739423464,0.003948276249662541,-0.008551120989250371,0.05608186913186941,0.045693945484368115,0.04239528168418616,-0.7905999999999977,-0.12016666666666698,-0.33333333333333304,-0.3562333333333334,-10.785314685314688
2018-03-31,0.006448248675603452,0.03961029514015735,0.028884013554050014,-0.0022938974857911187,0.047355000086051646,0.0049502785316901665,0.01591633765109357,-0.07677108579599334,-0.010348770801888563,-0.000954654010450362,0.035255286060117186,0.03595119403224345,0.037906139630054625,-0.5360333333333358,-0.1783999999999999,-0.41666666666666696,-0.3990666666666667,-4.400000000000006
2018-06-30,0.02921941639394099,0.02209074865727345,0.008437568955818264,0.00613085938346325,-0.0066842054664952855,0.003932301579297359,0.021195984945699742,0.07201790676833131,-0.048284220665998134,-0.010561788051108856,-0.005713973762791369,-0.00343189802744881,-0.0046405253958727855,-1.3952333333333318,-0.11940000000000017,-0.16666666666666652,-0.20679999999999987,21.723076923076917
2018-09-30,0.014563368535414511,0.02758172698800543,0.020866853780001193,0.01025932416322739,-0.04197732363647866,0.007621176231357829,-0.013491680166034747,-0.011729868882229155,-0.001800968370144318,0.02478677898245607,0.035307806843414724,0.021634896477863208,0.017408875497283205,0.026466666666665972,0.038466666666667315,0.0,-0.0184333333333333,-5.403418803418788
2018-12-31,0.0203427458412051,0.03630566311534622,0.0255026399155458,0.019713171538271013,-0.03510264775777472,0.003953118875587691,0.018747537817307425,0.04458511775178664,-0.00566796224545385,0.0018814680997056854,0.0495700304582094,0.01095362732789873,0.013766594326497739,0.02913333333333412,0.08066666666666622,0.0,0.012366666666666415,3.9262626262625986
