fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2007-01-01,-1.6280124165720362,-1.8298363433835758,-1.5521575472913447,-1.611745846812131,2.0849835494557034,1.034054397603507,0.3458484130144908,-0.11363676857926908,-0.9585919673134838,-1.5643327915447598,-1.9992684412221942,-2.0702691802267505,-2.4414749894786487,-1.4368682729487643,-1.6623291378317258,-1.6094143042895148,0.3205935328911732,-1.5781720728438222,-0.9171138339350025
2007-02-01,-1.6212520771865973,-1.8230502572618188,-1.544335859160839,-1.6059367882053441,2.030977431343285,1.1314386265016538,0.3458484130144908,-0.11919336517732422,-0.695231868587478,-1.553859405871371,-1.9948784130494028,-2.2012239514551197,-2.424701143022276,-1.4289746234599088,-1.6383087256767217,-1.5914374524776291,0.3261786176784066,-1.567775244835865,-0.8435434702812397
2007-03-01,-1.607108689353502,-1.8070446425002964,-1.534647256139563,-1.598921329485121,1.9799716531260005,1.1036145611021833,0.3458484130144908,-0.13102983437689275,-0.347649871397465,-1.5397421431928056,-1.9373029809355327,-1.9909269951603963,-2.407642620927504,-1.4049000144301091,-1.6088901308639971,-1.5661789587644805,0.34293387204010517,-1.5542625453875514,-0.7668118676411007
2007-04-01,-1.5950716321902678,-1.7915793795980752,-1.525231635292588,-1.591416852570187,1.7943506249470125,0.9366701687053608,0.3458484130144908,-0.14952866048058724,0.2637991670142557,-1.5325050116515653,-1.95183870608752,-1.9152673591991871,-2.332860793615093,-1.4048070082360247,-1.574387272206648,-1.5316581560101594,0.34293387204010517,-1.549082841555234,-0.9930114352769728
2007-05-01,-1.5823977204977944,-1.782242163619595,-1.5094207583705201,-1.583684387431032,1.5989284864439377,0.9644942341048311,0.3458484130144908,-0.17672250888156857,0.16913286425524016,-1.512494084003863,-1.836744323553789,-1.6483758824108368,-2.2410959363766993,-1.4134917211843485,-1.5591385289443063,-1.5125516760427336,0.33176370246563947,-1.5455824070227688,-1.12351666111389
2007-06-01,-1.5722538301162567,-1.7491700119659104,-1.4967109351079997,-1.5752623539891268,1.6829380035077,0.9784062668045661,0.3458484130144908,-0.16996045227774334,0.5573952606208926,-1.493291503110874,-1.8722633485172149,-1.8893928003879106,-2.226038698303363,-1.4019847483540244,-1.5318331067566704,-1.4933352987145418,0.348518956827338,-1.5387977722907826,-1.2152401450886243
2007-07-01,-1.5628348335510398,-1.7359127887657047,-1.4878544768315098,-1.5677076270533519,1.9404871801060328,1.0336370366225152,0.485659473594817,-0.19342674039019633,0.7400803222483671,-1.4737583082160115,-1.8485369131545364,-1.8521732813966454,-2.1203283694298074,-1.378775609843727,-1.506351103830423,-1.4677555755339111,0.44346539821029907,-1.5296247025241816,-0.8136261914634924
2007-08-01,-1.5547077095865425,-1.7278274969446616,-1.4744407753089626,-1.559169244715605,1.819405463297991,1.054699854129914,0.485659473594817,-0.2003150832803407,0.2935698859056803,-1.4681080342864636,-1.832113771213476,-1.7999423603422509,-2.077196372345045,-1.3751245405909935,-1.5249125885949184,-1.4715730681473311,0.48814607650816244,-1.517084932002453,-0.16986563248736827
2007-10-01,-1.5404256566305052,-1.6895052545595604,-1.4501641142397368,-1.5427034002427134,1.7871758121444574,1.2880602906352725,0.6254705341751431,-0.5496688735258667,0.44114049918361303,-1.429738263430215,-1.776866110137871,-1.7308239114104174,-2.0291616504693066,-1.363491149230218,-1.4755363086847173,-1.4424107240998858,0.6054328570400554,-1.4952251101306782,-0.6610343941130603
2007-11-01,-1.5085469394021034,-1.6343092366889007,-1.437007487021146,-1.5341987307683675,1.7228425241129866,1.378641535543248,0.6254705341751431,-0.5973132451827592,-0.15613151039282816,-1.4251080546527863,-1.7193448332663057,-1.6972688953882225,-1.9437808507875285,-1.3532495100362374,-1.482386071533425,-1.4452268425764399,0.6110179418272883,-1.4709110536944112,-0.06752290554412314
2007-12-01,-1.4897106983272592,-1.6067076553474144,-1.4217203059368313,-1.5302105385775817,1.645268736124288,1.2813268668086004,0.6254705341751431,-0.6483960479989762,-0.283071994641906,-1.4061876604261612,-1.6877969955039787,-1.6623784553496996,-1.8652360608261676,-1.2852726136992072,-1.4647899703095733,-1.4254812370086511,0.6110179418272883,-1.4568255592927375,-0.08034111325739712
2008-01-01,-1.489373507552842,-1.5921573906170932,-1.4119506561595612,-1.5233994108529771,1.9372888177778191,1.1408570726393743,0.7652815947554692,-0.725321617224751,-0.7196692746474088,-1.3968736188929447,-1.6583838480965023,-1.8052151116448072,-1.6867421413938648,-1.3119531255722803,-1.4753904474881583,-1.4429836637751055,0.30383827852947465,-1.4463367500717301,0.24923705727586465
2008-02-01,-1.488866148724512,-1.5826853757074029,-1.4010311407183733,-1.5152421376121428,1.959693493834763,1.1290400001741188,0.7652815947554692,-0.8385200520529068,-0.24103222569183366,-1.3587429832049944,-1.580259110368086,-1.7901565130990404,-1.594828916981701,-1.283111022734787,-1.424510499523031,-1.4146423231007474,0.6277731961889869,-1.4314507993661698,0.4736980494799269
2008-03-01,-1.4996360922961265,-1.572202027373716,-1.3867043351612534,-1.5071836227999342,2.1174065725154785,1.157916366066233,0.7652815947554692,-1.0774005325961147,-0.30691218077539345,-1.3145467901461185,-1.5824424384514533,-1.6580321183173548,-1.520429364192013,-1.2532680981559075,-1.405035089325507,-1.4137221219662135,0.7338898071464136,-1.4086069354792656,0.6806006413735335
2008-04-01,-1.47089338018098,-1.553342840327247,-1.3720458717390212,-1.4975518228323137,2.1030856001563376,1.1346847674649205,0.9050926553357953,-1.2366662711036693,-0.2995389452300311,-1.307936481249077,-1.5196691564748241,-1.3915034435973521,-1.4004422971710953,-1.2476504326531441,-1.3732484410604735,-1.3776317542452106,0.8232511637421414,-1.3917233914123028,0.034151954007633926
2008-05-01,-1.4574316859654168,-1.537584111096991,-1.3517090305437087,-1.488855926350056,2.0296272783904747,1.3306589347618616,0.9050926553357953,-1.0934189510187449,-0.3514745094729143,-1.2920746249289299,-1.5541793424247528,-1.3985712968855242,-1.445286960054716,-1.2510955946957452,-1.3576762885447902,-1.3658790910174592,0.911919969824252,-1.372113247932926,-0.40253791039811426
2008-06-01,-1.4244623358360915,-1.516263959779155,-1.3348619184766857,-1.4787939136006363,2.0775727099147216,1.5177294015947018,1.0449037159161214,-0.8735795305882526,-0.49675520099800186,-1.2589143541317116,-1.4827950584573004,-1.308392438328341,-1.4066939879048397,-1.2276018216241977,-1.3588987413440425,-1.3526836761415562,0.9964446429942361,-1.3489936538786236,-0.3087002702362668
2008-07-01,-1.4242100642813873,-1.483791457008267,-1.326006345985481,-1.4679553611096978,2.0686268574789706,1.4913563792914566,1.1847147764964476,-0.9826668274375387,-0.9357326801870908,-1.234796241889759,-1.4809881483411467,-1.371144736488068,-1.4462737420491323,-1.2274490061143264,-1.3957553269593406,-1.380440800241045,1.1252422832726154,-1.3320772979468531,0.29611498751649346
2008-08-01,-1.396512659735027,-1.4714347781811932,-1.3090897123863348,-1.4568854281374921,2.1220527488600887,1.620599608257043,1.3245258370767738,-0.8718355771105228,-1.0187236806050273,-1.209015472728363,-1.494875580818715,-1.5763500445193808,-1.4418890716264512,-1.2262498947118232,-1.3961723762210005,-1.3646063181897266,1.2915225445750733,-1.3084305416665984,0.25453456325188434
2008-10-01,-1.3429539482906148,-1.4056319320215511,-1.2773424909333304,-1.436390032908993,2.1810904369766466,1.7938322394341457,1.4643368976570998,-0.41000772142805153,-2.100729937920965,-1.1570248529814586,-1.4670382323691773,-1.2975813806780823,-1.6166825676115986,-1.2291214364873886,-1.5086112753557255,-1.4161987000803726,1.511054355289882,-1.2689997105901607,5.165822367737029
2008-11-01,-1.3201046250468464,-1.370957838641143,-1.2638421899352792,-1.4294560378159646,2.021475354895394,2.0389622556034794,1.4643368976570998,-0.36775284027317967,-2.0398864218101145,-1.1432924554641515,-1.4635066307719038,-1.521886468330291,-1.673060258800332,-1.2277055468460505,-1.4905284904075367,-1.4124078518637877,1.479554477089888,-1.2432451825866446,4.9070841796327835
2008-12-01,-1.3050028455021423,-1.3577550801295586,-1.2888221240428306,-1.3651810121965267,1.866249770080723,1.959872349705485,1.4643368976570998,-0.31247452638924156,-2.1018358364475476,-1.1272353666480437,-1.5065899893682035,-1.3036621572491394,-1.6598430077199124,-1.185328886202749,-1.4651680651744512,-1.3907322552711718,1.4741369448462724,-1.2258064235933943,5.526852397649932
2009-01-01,-1.2928901974149407,-1.3569071722359427,-1.2855217447968617,-1.3602009778627362,1.8375995244220857,2.0105956209287195,1.4643368976570998,-0.21813867050861308,-2.126710740825687,-1.1225032409526907,-1.469562694107121,-1.6537842633839874,-1.7241511737072919,-1.2245168501181174,-1.4785565925147925,-1.3925060327662528,1.49537621803991,-1.2105790436478507,4.566363679062939
2009-02-01,-1.2803576472363196,-1.3561050290466994,-1.2793306046865986,-1.355321356233201,1.8263122457365901,2.2990616189577295,1.3245258370767738,-0.0034519837655496554,-2.1672782932128993,-1.1258524324694859,-1.4942843843476399,-1.8637441544117481,-1.764302829275193,-1.208161656533585,-1.4752757715143505,-1.381203890142987,1.418483088499473,-1.1903570524406963,3.86027201053552
2009-03-01,-1.2897838698319002,-1.35555172485334,-1.2793282756932658,-1.3494591097864825,1.753010941758563,2.143872894192183,1.1847147764964476,-0.1584109973652485,-1.7218060473237393,-1.10973271514733,-1.5401104350765127,-1.7054746303622113,-1.6754463724173954,-1.2189737569376964,-1.4507849008520854,-1.3673926034694024,1.2157838911557508,-1.1697734777482414,3.6922524764417175
2009-04-01,-1.3062723930189486,-1.3554304095040675,-1.276599307121291,-1.344908899218093,1.5469235950415738,1.7769569437693669,0.6254705341751431,-0.3850891410229249,-1.593066958877582,-1.1088788977677004,-1.5065391504901369,-1.5066416630306851,-1.6666911883260829,-1.2322457858840545,-1.4392889374449693,-1.3697562061565496,0.8000730618751244,-1.1629780438567603,2.9088440262263795
2009-05-01,-1.2958521399354481,-1.3396796040881884,-1.2724750969008067,-1.3387150837864177,1.1756855391368097,1.274593442981929,0.06622629185383859,-0.6148670389811621,-1.0005206255795671,-1.110810704947742,-1.4534973736883445,-1.5265404492003658,-1.6602719588193167,-1.222705411749598,-1.405569030182922,-1.3381861457906399,0.20617748593991844,-1.1554485539259196,1.8063040024539336
2009-06-01,-1.286407097858853,-1.3397801905289486,-1.263670085636951,-1.3317464276293662,1.167080564317565,0.8082203707887057,-0.49301795046746594,-0.623893501636663,-1.058258250852025,-1.12605774466062,-1.5944094751376234,-1.6318938000072696,-1.6835872288399718,-1.2016057124454613,-1.393961605487408,-1.327371506691668,-0.42736102181506697,-1.1485323185017309,1.2557132162481695
2009-07-01,-1.2817880354046984,-1.3220368348635287,-1.2645870859754316,-1.3242941187292854,1.1335847697282848,0.2554257514647277,-1.0522621927887705,-0.5682673993292852,-0.879036717577034,-1.117703872490834,-1.5351448655615292,-1.592473726829443,-1.607554414079116,-1.190722996231063,-1.360504994041048,-1.2974096557880446,-0.9248803746617803,-1.1448483848396631,1.5247365621813296
2009-08-01,-1.2852413248961383,-1.326348297018706,-1.258977161521867,-1.3158286441849918,1.0273157309825214,-0.21040475145320608,-1.4716953745297487,-0.7247421217117623,-0.9027588486087829,-1.127002055303636,-1.4605215953449169,-1.5869961100070822,-1.615407003081765,-1.1859928706210647,-1.3492284848940193,-1.2952922337679043,-1.4331230902999812,-1.1395752378266881,0.974095799504094
2009-10-01,-1.2810496723769045,-1.322083251993218,-1.241973498404768,-1.2942895952212916,0.934983271049657,-0.8853609299135591,-1.4716953745297487,-0.9237001521753753,-0.8579395764545361,-1.1254213351063365,-1.4053458926438067,-1.4242940158154551,-1.5588605399787878,-1.1680763556661464,-1.30397135408632,-1.2643436375851036,-1.5321354734080475,-1.1331382071936118,0.249936727876471
2009-11-01,-1.2653454437272593,-1.2908161112451295,-1.2363941400493568,-1.2814739227466936,0.9090513333360107,-1.0722273531364022,-1.4716953745297487,-0.8915602923070752,-0.8726166033677684,-1.1304368122328343,-1.3651634996749566,-1.39869730056162,-1.5291033978502666,-1.1419944671591018,-1.2758683414538021,-1.2419227401736965,-1.495116217938027,-1.1261018917712518,0.17483875007805103
2009-12-01,-1.255051332497595,-1.2754932200731182,-1.2287838660943704,-1.27285023785562,0.9431111918255752,-1.2116120087550493,-1.4716953745297487,-0.9093068388582723,-0.8659846844171477,-1.1162609081276493,-1.3416559671810455,-1.2123079025944,-1.546278907370969,-1.0907156468072627,-1.2472953539643472,-1.214580994057647,-1.4820819435448656,-1.1229909360831807,-0.013139417951535127
