fecha,Crédito empresarial_log_diff,Crédito consumo_log_diff,Crédito hipotecario_log_diff,Tipo de cambio_log_diff,Índice BVL_log_diff,IPC Lima_log_diff,PBI desestacionalizado_log_diff,Demanda interna_log_diff,Reservas internacionales_log_diff,Liquidez M1_log_diff,Liquidez M2_log_diff,Liquidez M3_log_diff,Tasa activa TAMN_diff,Tasa pasiva TIPMN_diff,Tasa referencia BCRP_diff,Tasa interbancaria_diff,embi_peru_diff
2007-02-01,0.011539557174801374,0.018912712068933857,0.014340999579239622,-0.0006893526625058044,0.1054988389668523,0.0025913126435446188,0.0012228942561653966,-0.04757234802340182,0.015918932570366806,0.019657790105243933,0.03874610840154702,0.025549606896039023,-0.17999999999999972,0.07000000000000028,0.0,0.010000000000000675,4.5717391304347785
2007-03-01,0.026701017370713842,0.022941556848934397,0.01704950749105194,-0.0014700213169618337,0.12411321593445912,0.0034822845066324604,0.015901414522989654,0.07533151285569151,0.015933311508275594,0.05767276684198741,0.04549529469155722,0.03483024850124394,-0.1700000000000017,-0.020000000000000018,0.0,0.02999999999999936,4.768181818181816
2007-04-01,0.025139532046503987,0.021801966932121886,0.01792180364355822,-0.002301784231005133,0.1867520084010703,0.0017804820027302881,-0.003990737593905003,0.025771774092083533,0.06700008073281793,0.00021647767431609566,0.050847514752891954,0.04572171368749345,-0.618666666666698,-0.1200000000000001,0.0,0.0,-14.056277056277054
2007-05-01,0.014877675820827108,0.035573729652755404,0.018136321138996436,-0.0033933423813710117,-0.026728199188735147,0.004906658935454722,0.031171031725754084,0.08594756593166775,0.0765184689236893,-0.02041907685992328,0.021674003579908785,0.02443514673728764,-0.6513333333333016,0.020000000000000018,0.0,-0.019999999999999574,-8.109730848861275
2007-06-01,0.05098417398536803,0.027706447630677644,0.01938649790561442,0.0008448690489417654,0.10535107673004873,0.004685924509979067,-0.009516380113665512,-0.07728420937851421,0.012014723778074554,0.0269658733650342,0.03767466513773776,0.023987846357380604,0.28000000000000114,0.009999999999999787,0.0,0.02999999999999936,-5.699792960662535
2007-07-01,0.01972923636397894,0.018862383718492026,0.01707595399787465,-0.0029350041602560495,0.045974739249476926,0.004744180854600266,0.006366900260696973,0.012331717736878467,0.08051532717119159,0.0522720863528896,0.03392280331729047,0.031063774472244177,0.8583999999999996,0.03970000000000029,0.25,0.17000000000000082,24.956709956709958
2007-08-01,0.01184409413898102,0.027907537588010456,0.01895468727030014,-0.0008631852068101686,-0.11633766111719446,0.0013681400499123697,0.0043834672990188395,0.01705285948294133,0.031076258633707,0.007979866576244277,-0.02459548332601713,-0.004575112021450778,-0.4035599999999988,0.01513999999999971,0.0,0.07999999999999918,40.00395256916997
2007-10-01,0.05430528339947216,0.04860912351985647,0.03556878425342802,-0.04478481116923527,0.03996580071469502,0.009241551367901835,0.014606570996420487,0.02212849063278277,0.033508667588469265,0.02500968043988827,0.06413736521699143,0.03443038612964777,-0.10742000000000118,0.16774000000000022,0.25,0.21000000000000085,-30.52173913043478
2007-11-01,0.07337195793558138,0.025388446582809365,0.017887582619845688,-0.006266110387123769,-0.1726482065477999,0.0011094559935118653,0.014984322518230009,0.010568710250050017,0.056922874511160515,0.021511577422540284,-0.00865552941485248,-0.0032736031792772735,-0.2144200000000005,0.06510999999999978,0.0,0.009999999999999787,36.88142292490119
2007-12-01,0.03476562879628098,0.02871229378203921,0.00827928396358324,-0.006762232638412691,-0.04087569985575534,0.004520815075122364,0.008123874027403666,0.010872140310120848,0.04964963799923261,0.13212781658587325,0.022085679303989636,0.022730624881580397,-0.2585499999999996,-0.06994999999999996,0.0,0.0,-0.7965367965367989
2008-01-01,0.017851611845102866,0.017926728529504388,0.013982964030940792,-0.010270311040920133,-0.1549011367678137,0.0022180007930208134,0.007515178084389618,-0.045277703618882725,0.10442684083918863,-0.049798996972999277,-0.01324664828853983,-0.020122168916133276,0.9732899999999987,-0.10096999999999978,0.25,-0.5499999999999998,20.480331262939956
2008-02-01,0.011452203692053686,0.01966353564041512,0.01649324148464082,-0.015307530245873835,0.16862411380128606,0.009029295510610602,0.019691217135767047,0.0048712463181797006,0.04979998623771742,0.05372705476338524,0.06203911990843203,0.03238342387782467,0.07467379310349997,-0.008494137931030377,0.0,0.5799999999999992,13.94824016563146
2008-03-01,0.012523908781352233,0.02522640501401341,0.01603074824757833,-0.033093286157210855,-0.02158959513008618,0.010364608016709909,-0.0005450702362423954,0.04175256853416265,0.038570049285096886,0.05271046391984768,0.02276413012962486,0.0010340643840187624,0.5256507068965028,0.02075639593103018,0.0,0.1900000000000004,12.857142857142861
2008-04-01,0.022142623287694008,0.025168159497701126,0.01882932303716167,-0.022688456113179933,0.0024395853145673385,0.0015410133548794391,0.015554095511141952,0.07926533144396863,0.05922986775460792,0.00961889725452636,0.036075972128623235,0.03973513138331164,-0.04773116666670063,-0.01669892466666978,0.25,0.16000000000000014,-40.170995670995666
2008-05-01,0.01813361309561934,0.03390084333903154,0.016700435350140097,0.020429669554663965,-0.017311987990808575,0.0036881023812513902,-0.008521049393706015,-0.0020228677601448197,-0.02172844747132352,-0.005888029301999609,0.017209543239914638,0.01260606627504579,-0.24483333333330037,0.1408666666666698,0.0,0.15876,-27.136363636363626
2008-06-01,0.02402122420486208,0.027238525550163928,0.018982281856830596,0.030563149529750033,-0.05008232847617755,0.007666560622453744,0.01754625093949347,0.025507817951766043,0.01872750843997295,0.03948124375151707,-0.0013403313193727229,0.013966753713752666,0.1598000000000006,0.13446666699999987,0.25,0.15134000000000025,5.83116883116881
2008-07-01,0.03551245232493905,0.01402568975680829,0.020052009211289246,-0.015049105577598088,-0.1686332710488614,0.005539348630342111,0.0004401676735898974,-0.017680915022995514,-0.01921098001486321,0.00025177104446783005,-0.04127801678350451,-0.02960951822217872,-0.029816130000000385,-0.018956986999999703,0.25,0.23060999999999954,37.583850931677034
2008-08-01,0.013188972203044713,0.02625820741737961,0.020073286754785258,0.01528786239667812,-0.035344106715566426,0.005887485898567135,-0.003388000493323773,-0.06010277109821427,0.0021464732888585303,0.0019733977147726733,-0.00047696760998405807,0.016998469739037958,0.17806613000000127,0.09290032000000004,0.25,0.29772200000000026,-2.583850931677034
2008-10-01,0.06744732870231473,0.0474912954461999,0.03613335954242913,0.061301310635053285,-0.6330754679273198,0.011768555625057964,0.0067797275552239356,0.08079846014996939,-0.08935234121085855,-0.004732264084402971,-0.13768159917195355,-0.05648236359445491,0.19676999999999722,0.12451999999999996,0.25,0.39306799999999953,305.1925465838509
2008-11-01,0.033791166486569324,0.01953133265966045,0.011934898596635435,0.005425558248850715,0.048480712358410116,0.0030854702253595434,0.0008568378449824721,-0.06449113711407506,-0.030610116222657524,0.00233616681478388,0.023461737501831337,0.004260503357732759,-0.5319900000000004,0.1761999999999997,0.0,-0.056400000000000006,-16.078260869565213
2008-12-01,0.01257224582770533,-0.03644477638752974,0.10433622376569751,0.007053621416045708,-0.049384020840099296,0.0035957619295263754,-0.010503383557569634,0.06279656887699137,0.007260809973665516,0.06750756424354698,0.03200358792276603,0.02401843858657493,-0.51736,-0.056849999999999845,0.0,-0.009699999999999598,38.5130434782609
2009-01-01,0.0008020390656202636,0.004891961800948863,0.0076472309810231565,0.01192371546827875,-0.020536680467509782,0.0010572318089394628,0.009033610048068574,-0.10275662582354528,-0.035833754099773074,-0.06226623030695677,-0.01676795184159907,-0.0019439711378410607,-0.09548999999999808,0.03645999999999994,0.0,0.03802855999999988,-59.68577075098813
2009-02-01,0.0007581584034248579,0.009112713073665901,0.007436740604990888,0.026617094451573786,-0.034424568328308425,-0.000748146804018468,-0.006022328478029415,-0.06709961671095943,-0.02304241894499981,0.026459905843321252,0.004135021089345159,0.012322395114306772,-0.03762000000000043,0.20735000000000037,-0.25,-0.13767584999999993,-43.877272727272725
2009-03-01,0.0005226294762081807,3.4124576480110136e-06,0.008861779890466437,-0.019140578564729616,0.3254098265531855,0.0035957186115060935,-0.01126029964720665,0.05099326999139553,0.050298930870187775,-0.017413475134635092,0.030338715839063113,0.014854765344184173,-0.2443099999999987,-0.11155000000000026,-0.25,-0.36292948999999997,-10.440909090909088
2009-04-01,0.00011455322853137773,0.003990524654609473,0.0068246861950527204,-0.028676286768968273,0.07721440040272576,0.00019009531837888005,0.008261477436257714,0.0605837234017752,0.0048218210115642535,-0.02179838588454608,0.013929603142877056,-0.0025265795522795287,-0.6868800000000022,-0.26373999999999986,-1.0,-0.7443232200000001,-48.68181818181819
2009-05-01,0.014762499394995743,0.00600070568836486,0.009215643045733302,-0.029932775127438527,0.2941757501293232,-0.0004301523813436958,0.012915390547031613,-0.005900456563700196,0.00352060553724165,0.015717267646847333,0.03977344049929599,0.033231245079898386,-1.2373200000000004,-0.3611,-1.0,-1.0633600000000003,-68.51298701298703
2009-06-01,-9.358692914140931e-05,0.012692001517608631,0.010267985202549568,-0.0011943501740625528,-0.02514652215328006,-0.003401542668605373,-0.03468536828802726,-0.0318334338676749,-0.012846869846105946,0.033907494038063035,0.01333325239168559,0.011134407013607017,-0.02867999999999782,-0.33523000000000014,-1.0,-1.13434,-34.21428571428572
2009-07-01,0.016374621896281027,-0.0013143225147320692,0.010865201984813666,0.007337663066043554,0.07607752704201864,0.001865142372533768,0.01473477484143082,0.012030080227006579,0.04130013921400533,0.01704932323832331,0.037465301298515996,0.030215542456227595,-0.1116400000000013,-0.39734999999999987,-1.0,-0.8907999999999996,16.717391304347814
2009-08-01,-0.003954281903633117,0.00801370922695277,0.012200818986910278,-0.02077951211736062,-0.009743582722025579,-0.0020761946046592428,0.018249784867171215,0.0016602462135226759,-0.004187308065150219,0.007320738812580885,0.012317833714671877,0.0021012035738863233,-0.3541899999999991,-0.33484000000000025,-0.75,-0.9100000000000001,-34.217391304347814
2009-10-01,0.003911793327432633,0.023904460077721623,0.030388001436801204,-0.027060481200762654,0.018329934420561855,0.00035326383989442434,0.013282718933848692,0.04809803209501329,0.029768495722848343,0.027253086467117882,0.047964255163758907,0.03021810100134026,-0.307739999999999,-0.48516000000000004,0.0,-0.1772800000000001,-45.0
2009-11-01,0.02821948592666068,0.0077208057437410105,0.017652097234137187,0.004421269216156931,-0.005965608637810149,-0.0011213035424777473,0.00956346906771266,0.007360657031571627,0.01531666924123165,0.038391355977479336,0.028666206961890595,0.021335011257024306,-0.08643,-0.13432,0.0,0.06628235179999997,-4.666666666666657
2009-12-01,0.013543906028701258,0.010436023837707253,0.011705126441464486,-0.00243885850831016,0.0027000108287804636,0.003166048310699665,0.0055527147719445225,0.0520247705281891,-0.008811971973949895,0.07143614896773798,0.028326797686546,0.02541620939991951,0.11351999999999762,-0.10019,0.0,0.02333764820000006,-11.681159420289873
2010-01-01,0.0036753973093954784,-0.0007036298703368971,0.011624529760121405,-0.007333121115698393,0.019107325291541244,0.0029547938821883335,0.002356764967143654,-0.0742681551618194,0.035786253035263726,0.0024846924485490973,-0.01100405131890625,-0.010986047055615344,0.03129000000000204,-0.11122900000000002,0.0,-0.24234,-0.27122153209109
2010-02-01,0.016503416943743687,0.00503228416220125,0.007600055442457787,-0.0008668357101186963,-0.03081372873211663,0.0032198914599606,0.010432286191899287,-0.04587685334807823,0.019245929813598295,0.007867925533849629,0.012925043244688794,0.01261547506316063,-0.21512000000000242,-0.052840999999999916,0.0,0.2152400000000001,21.56904761904761
2010-03-01,0.022429525882762036,0.007260275174724384,0.018836256376228988,-0.005161341688922683,0.07739040159082045,0.002804185576422036,0.01311341187976467,0.12365586968861209,0.00737123251520444,0.03429925781482446,0.042130110969049284,0.026113802685365783,-0.27229999999999777,-0.03205999999999998,0.0,0.01739999999999986,-42.12391304347824
2010-04-01,0.01739627283464884,0.013307021324933999,0.01807355830139379,0.0001998161850875757,0.04606762121389707,0.000253542198832335,0.010429220152087026,0.020386873322526533,-0.006245498158202523,-0.006618863372343853,0.010037768255445556,0.008973734415761214,-0.09439000000000064,-0.0620099999999999,0.0,-0.012939999999999952,-14.007905138339936
