fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2007-12-31,-6.4800102762990015,1.4019888973983343,-0.864668124866401,1.5276545354635223,-1.258471184517809,-0.4120947257111316,-0.29014544506227996,-0.18458682089143408,-0.39694539672603785,-0.04599833750363319,-0.21746021559603707,0.029137597192720098,-0.03893944501599979,-0.06067665415240069,0.06445477626454284,0.0639139856162528,0.03673893848928893,-0.003999043597834646,0.0030678242105871374,-0.006332721279135678
2008-03-31,-6.538811395029294,1.5459482418210742,-0.312478974627052,1.2904059867234976,-0.628404484317811,-0.15984819691368196,-0.2814209527510205,0.23300918882776298,-0.26856582295382864,-0.027646903648830504,0.12048328879363594,0.10753128636720444,-0.0673540198914121,0.06513656180759173,-0.032744987371944805,-0.027370857909400213,0.08648484487722455,-0.007226625046223097,-0.006039949019777558,-0.0023013981422355012
2008-06-30,-6.154443601169636,1.787810667647244,-1.042506045338018,0.8865326960168386,-0.8547059630700956,-0.2636293531897207,-0.29442802750715674,0.4195537927495499,-0.31385681462286685,0.16843279224280513,0.03415764209530592,0.05859049993550067,-0.03490284562930801,-0.014520215607221703,-0.04381104096499853,0.03193450656645276,-0.019329532543234135,0.006867144304529108,-0.003907884694928834,0.012249192499221778
2008-09-30,-6.198678657308494,2.4241387146730378,-0.32446608584907877,0.35227581465090135,-0.877471723642391,-0.2841641526758612,-0.38834604188185745,0.5725498466059301,-0.15972903762544174,0.0863791400558791,0.1097042653759709,-0.04129178407510192,0.03314082116894131,-0.06943912232881001,-0.0001388611697432251,0.004768953700408919,-0.010719606056753827,-0.01320141984379783,-0.0013756381698846435,-0.004040252653651861
2008-12-31,-6.746172304164472,3.840480545946962,4.0042771977172045,0.33244605399469307,1.4570138722680896,0.6806575295740619,0.6249155560085081,0.146093449125408,-0.1948905161356707,0.09729399479587038,0.14489818923001616,-0.1165420373545929,-0.06751285536088082,-0.05957682012442041,-0.010472063660554936,-0.03724026495238327,0.01012381485556796,0.019471093057438344,-0.007395735938461939,-0.0013300853425955756
2009-03-31,-6.593561036029494,3.534236686048094,3.3138768918057355,0.3916890195197338,0.5011922248562706,0.5091657122641653,0.15348844977176349,-0.016606491313822448,-0.19067247551719171,-0.14349902241464066,0.07490340736084897,0.0350135664851258,0.061227527222410386,-0.031119845728669864,0.003394109300240351,0.0034484813423929193,0.021465416717979132,0.0006080702897407741,0.016028701325931954,-0.0028890351199739738
2009-06-30,-6.066249918518717,1.236787325694555,1.5677749794277234,0.7845175055666483,-0.22457711775333264,0.43779304803652436,0.08887488664738571,-0.21407972020579177,-0.0750594949877961,0.035199532239802434,-0.15204158672811344,0.1842424095798181,0.1478677198165153,0.0727121681366452,-0.017951062639115008,0.0450561568879353,-0.04224781505991522,-0.0006058297481412501,0.01080171943821712,0.004639918275393206
2009-09-30,-5.713567402040508,-1.2629842067535038,1.0962826069002636,1.2542995728086903,-0.16457666372201007,0.5546621988622574,0.23205272648843328,-0.11937730872012006,0.23395782716195443,-0.1126864056346143,-0.17476848554067742,0.08073872619434333,0.09413525514605017,0.15217401754903273,0.037227792392685505,-0.007191478940212244,-0.01866172888444624,0.001446001042151738,-0.00787557222168682,-0.00020016721545930332
2009-12-31,-5.361286607824961,-2.215826042202898,0.24818837136950603,1.1266991788250862,-0.4223750383330485,-0.07607170899972558,0.15620375545810442,0.1659524578342586,0.49830838511345515,0.09156103069899788,0.014819363701501827,0.018115850686660787,0.03772888189077659,0.06429548051598383,0.0036395698653746028,0.011979911480756123,0.007320615474552584,0.0007767252328058136,0.0020459734419166734,-0.00414378503832695
2010-03-31,-5.151154728182094,-2.485334659019869,0.07159285856059572,1.0414241426036983,-0.25134200651477023,-0.21801549057265002,0.04376153273918554,0.20137257132078656,0.6227797266066998,-0.05967751189057194,0.13027968164410458,-0.09392983719706355,0.041216411671203775,0.021929894098184764,0.025290295582618215,-0.0007565460212753479,0.01765059447348709,-0.00017126579767277043,-0.0006946342494763947,0.0024372377450720315
2010-06-30,-4.839035766729341,-2.368785982891464,0.07861554378753761,0.8682697817461329,-0.07391190359397144,-0.3918744279525483,0.32092101695646397,0.1443838028691497,0.5704736050288773,0.13796115669358697,0.09210178367370161,-0.1566015445581387,0.0325304645414676,-0.027696667274459654,0.006640942192751182,0.009641748419535363,0.011425653612736158,0.007245452930204124,0.004411407906371464,-0.0025046653508157164
2010-09-30,-4.512236183813739,-1.7162976245602168,-0.2813081596394703,0.5867499119588228,-0.0034510661191948003,-0.5772182671958545,0.03470198097964889,-0.10582116624360986,0.3807998341282626,0.1726415983122965,0.09314781681491957,0.09687761782659232,-0.003729188540277997,-0.0787943351072477,-0.050359549744923675,-0.053262553441668734,-0.009878236476252486,0.0014125690763180112,-0.006692949351217487,0.0007406169858798037
2010-12-31,-4.104591761900681,-1.1732313628578288,-1.0466929368597921,0.9327628818076982,0.15510199584934337,-0.5183997698860634,0.10558307464956322,-0.2182937234640938,0.03639818387655326,0.07106335273859068,-0.07579706374697509,0.03756794439270685,-0.1295423650215371,-0.08484743113402918,-0.007828014349768288,-0.028919872712305707,-0.04841959646368472,0.014886199121859832,0.008066501594198682,0.0020569246733472446
2011-03-31,-3.9103256059632514,-0.8086173598340132,-1.3054543221385049,0.8447635788011482,0.25132901528641516,-0.48186328546900636,-0.11947699995030711,-0.39385276992827883,0.006960978792721669,-0.16683203370713168,-0.007398575253940385,-0.028917022332617823,-0.09968948042657609,-0.06625081716484219,0.01151158465149262,-0.03247702758613847,-0.03247219635089903,0.0006260312908352275,0.0011733282794733715,0.005019399040859523
