fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
2008-03-31,0.0420192761424664,3.3699749109020036,2.7517687129256783,-1.6703005711674328,1.5685622504232408,-2.193032014573579,-0.18349033003066365,-2.1400277450641996,1.985240359502846,0.37617376832081495,0.8748617337891139,0.7144404607667462,-0.18866153888292184,-0.7686464736170958,0.11641551375179066,0.05466117660076914,0.32233475840175546,-0.010192908127145841
2008-06-30,-0.5018667905215994,5.455841495659476,2.3283046999221866,0.3429106743801279,-0.28930951035981506,-1.0900443826686503,0.09642161304717227,0.989540705897565,-1.2553719179939344,1.1267217660460864,-0.5678050414025486,0.02779028398172046,0.1977180210687914,0.5306842960494174,-0.6876993674279249,-0.0440012009402044,-0.06993986792376253,0.2553569210881093
2008-09-30,4.364653786379458,0.7627500723834268,3.475516985165343,0.1837997279216655,-1.3686291172895346,-1.1132867034045835,0.6926671225762743,1.7111173985648078,-0.30325202131348583,-0.048759733970058734,-0.5339266012388835,0.21181195522629223,-0.79829727036392,-0.32144824489065194,0.8969048992300562,0.24869831037719825,-0.45027095768122344,-0.06841934403566151
2008-12-31,6.962500805719969,-4.031893113171953,6.207536598868027,1.4585251311178276,-1.0942513610969324,0.8628455086012122,1.1391854674140685,-1.5915952915624625,0.7788965956922034,-0.9513031027588416,-0.2454854363572946,0.41322054517081036,1.2904964001437345,0.5528655694205307,-0.34112327987249036,0.15676348299365014,0.0014032342956886716,-0.01419950809670102
2009-03-31,-0.46170322689495685,-1.1614497410393538,-0.05388153902718804,-0.003911119071067655,-1.1008209018115296,3.0808565394715726,-0.6146763634300452,2.1077586952872216,0.8760824732798708,-0.8044050201765385,2.4112947851647037,-0.5540504453776289,-0.5554064836206957,-0.08528205732764828,-0.14969508685033367,0.04152072161027773,-0.04502983522519179,-0.032902157987056604
2009-06-30,-6.611257621111339,-0.7062600067931906,-2.0429202821084482,0.1744689443296039,-3.5276394856175846,-0.306044399785126,-1.3991935014266677,-0.1568048729713518,0.18557361985187978,0.8666688248983546,0.6124316043416794,0.818010427464231,0.45740159439886946,0.2856147664383039,0.2511067524642375,0.5511512901386679,-0.1768072534527593,0.14622283118788915
2009-09-30,-7.0217457312361535,-0.7329551311980507,1.1952679205549472,-0.03072564245375615,-2.4588986518086986,-1.04573202030846,2.013605366760098,0.6277917274036351,0.6350878616858542,0.7967470995680258,-0.41726951627707703,0.7666779584715062,0.4272140919452353,0.42152647643274554,0.33644546925948937,0.012713396628717549,0.08473720110646049,-0.14426603228795806
2009-12-31,-3.3880913567476827,1.094167049947304,0.6908435763829948,1.0183508832241044,-0.10019559104483967,-0.013275519964683298,0.03542940816100944,-0.6308967267038066,0.37433566901412474,-0.13999076885387038,0.1758348926892258,-0.09285653015052431,-1.5258310394034182,1.1118051436858873,0.23902012732522437,-0.908922739593805,0.1050108588317402,-0.05005205777562836
2010-03-31,-1.3924380206806906,1.2192435411236715,1.717154380620322,-0.2987942234901442,0.1049793848323594,-1.2119660671763097,0.16007402412276986,1.2915031185063022,0.13908882242006385,-0.7905380871262748,-0.7544357192001663,-0.2495819523437547,-0.007482543240939023,0.3109899947704792,0.18597196715982228,-0.060177787543103996,0.1749414022475802,-0.012080875695503415
2010-06-30,-0.3510260298656755,1.2112703699579412,1.5930207369233618,1.7302693513791754,-0.49289174503353966,0.16233973276035174,-0.6744525875882753,-0.19236980272582763,-0.7275171827229169,-0.47032302859161423,-0.064286884428836,-0.08509701513468322,0.10768538012828766,0.213670622318051,-0.13447777967497412,-0.3822821490865516,0.18836166704602356,0.004554199964985919
