,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2009-10-01,0.11024003042668495,0.10833918628051581,0.12322804447719707,0.08019371583164314,0.18477475714045524,0.4135205984953351,0.4817126244296212,0.04604940417692491,-0.18501113461251426,0.14304762146777453,0.08350270781733535,0.07055375623324714,0.12864073865512954,0.06624158427947952,0.012197243807379396,0.03010563358171635,0.49027160689064136,0.08187408940442924,0.4236526598746135
2010-01-01,0.10906167317355886,0.10560963187531397,0.1253922445592207,0.08909921694893341,0.21165388458967727,0.42849061080085693,0.49558273086774357,0.04508373761451917,-0.15554533197835324,0.1338093542133767,0.08403269597483173,0.07282869082343599,0.13315771968034032,0.06983591319561305,0.02075093144600705,0.03286022455585447,0.5032823023036913,0.07429021908077837,0.3739766942883719
2010-04-01,0.10201076597609023,0.09683305743975276,0.1239266729378417,0.0939156783271827,0.22930306166220382,0.4486909109368601,0.5197876877482821,0.04188699648370363,-0.09014215783987095,0.11599426205067671,0.07953107937274304,0.08002930454822788,0.13834496922402761,0.07051595136063732,0.03526052994485187,0.03915267642022292,0.5267158934387657,0.056787759069239024,0.29723608580616145
2010-07-01,0.09324987192445892,0.08768729519991514,0.11624259722691882,0.09093538336653359,0.2549760589391876,0.45939099716840354,0.5271151516951061,0.038761763970505306,-0.0680185237452157,0.10475004368148952,0.0741391509818854,0.07009212601504426,0.13755087482140965,0.06809592308624746,0.04189412783740812,0.04069869665570275,0.5326034719370606,0.04647866572300427,0.26004603895138534
2010-11-01,0.0894822255168882,0.08223985663063779,0.10820599448302771,0.08739855861107149,0.2691170390356483,0.4657840314905041,0.5222295264573026,0.05480643811545831,-0.10390667963224917,0.1048731323057549,0.06903048821449745,0.06804487224084485,0.12822393336816199,0.062270533839767966,0.03854316628972196,0.03699609959402913,0.5255030195826869,0.04789430315646835,0.26070187392975963
2011-02-01,0.09160132673815805,0.08167098128984464,0.10101323173551852,0.08449789339602184,0.26768829450037246,0.4667755959905633,0.5107059125258122,0.09960784744766099,-0.14971945249865473,0.10895967768477795,0.0631864293348309,0.0617892750643636,0.11000603182121574,0.055008077748161924,0.028986446848233236,0.031999883551931015,0.5144398417182301,0.0553071638694153,0.2837596302968254
2011-05-01,0.09102012870109612,0.08000575147998433,0.09172808027474419,0.07934203722952815,0.2373941092787802,0.47202840610719216,0.49730597159126744,0.1448750181704329,-0.18932781035718171,0.10857874943596559,0.053556783343807035,0.04386904882726514,0.08583630495610117,0.04576670953673247,0.015493066495841604,0.024050388249158446,0.5020821234942577,0.06085026173469069,0.32347970159639133
2011-08-01,0.06982240523785929,0.05806037918788771,0.060938226331242816,0.06030390348376118,0.20018403412684044,0.49873097073869926,0.47535457356705274,0.19991280541185755,-0.20968505079166003,0.0855409210956264,0.02188136234392495,0.0001732788328926184,0.045772408909681685,0.019500586620167466,-0.008121651181476973,0.0037489614074625727,0.4833054429721185,0.05035846841744578,0.3731367635268543
2011-12-01,0.0172088255956254,0.01139805969189456,0.020097337534341272,0.010683280671827926,0.1897090723489094,0.5758824200835189,0.42671001688584753,0.19463262441921123,-0.11339276414551819,0.037354842345655545,-0.029081940706884486,-0.04676841434711629,0.005327286631517403,-0.03153434228513364,-0.04745914854569969,-0.03471036682785447,0.4448296129001891,0.01147957538108988,0.43782533835320775
2012-03-01,-0.13080752738991538,-0.09924288073858945,-0.05094786482328465,-0.09919015296907385,0.33364455416709765,0.258403788187905,0.3227129932087087,-0.467169115909246,0.5543062910099761,-0.10455399446366886,-0.0481427640373253,-0.03629088390081752,0.054180913470251654,-0.02960931279998428,-0.052337973236832536,-0.07652814137160599,0.3029896270771341,-0.13507634233997495,-0.1258801568151668
