,Crédito empresarial_log_diff,Crédito consumo_log_diff,Crédito hipotecario_log_diff,Tipo de cambio_log_diff,Índice BVL_log_diff,IPC Lima_log_diff,PBI desestacionalizado_log_diff,Demanda interna_log_diff,Reservas internacionales_log_diff,Liquidez M1_log_diff,Liquidez M2_log_diff,Liquidez M3_log_diff,Tasa activa TAMN_diff,Tasa pasiva TIPMN_diff,Tasa referencia BCRP_diff,Tasa interbancaria_diff,embi_peru_diff
2009-11-01,-0.2146050906201516,-0.1324276174688338,-0.11452268714556389,-0.2852396604507483,0.37497422607079556,-0.2422920871229918,-0.018549695993983206,-0.01565692057953741,0.17683265549576277,0.04887620796591054,0.3591076258071101,0.30464255760930187,-0.17685419432840427,-0.2705405671597975,-0.2678455693151217,-0.2670178101472248,-0.37295670569171424
2010-02-01,-0.22322025343900306,-0.135860141063462,-0.1070105612684946,-0.29078271114215515,0.37540879233892355,-0.23699885565863377,-0.0138950189972228,-0.01868574185867085,0.17314285386334474,0.05232806199923609,0.359007164782838,0.30248149755065135,-0.16636316951481037,-0.26878031544112313,-0.26868465254886087,-0.2678688362295972,-0.37563793076800794
2010-05-01,-0.22729113586841393,-0.139199907058435,-0.10570774291067285,-0.28806541049247814,0.37610593698455513,-0.23330053268548984,-0.018491106921958864,-0.021289993017849285,0.1829503774182249,0.05791333838041553,0.3617239305274681,0.3074715572224478,-0.17353414821066943,-0.26430308343858544,-0.26324936072647637,-0.26186800811710526,-0.3715821075987093
2010-08-01,-0.24697922187203505,-0.1260194739903665,-0.10369844104697098,-0.3046035416330509,0.3679148023796369,-0.23980791078283537,-0.010591177262464474,-0.02436512482269937,0.2022944812992279,0.05872700536467414,0.36573731618097327,0.30392251153206806,-0.17395409190950975,-0.25465268877118874,-0.25329632852633427,-0.25106046081174394,-0.36497356733792086
2010-12-01,-0.24246472686399195,-0.12399545059453254,-0.09269203221549635,-0.2939080452171235,0.36365839736530714,-0.2470051940939245,-0.025135897568934803,-0.021588763863202076,0.23260424814339356,0.057364475779493,0.3655096093116049,0.30546984794338555,-0.1730715148123488,-0.250912586472663,-0.24498193309313193,-0.2677228129991489,-0.35720904153459904
2011-03-01,-0.24614045678745103,-0.11887977251362192,-0.08878992148781391,-0.3094692557310237,0.35626582483715874,-0.2503399548322304,-0.037548391221254335,-0.02175372794150897,0.23546866248914752,0.058632944620559624,0.3669805933607836,0.3067866901950021,-0.15038939509648303,-0.245332800176833,-0.24420037922649962,-0.2670301475291098,-0.35878802547837046
2011-06-01,-0.23216853359083958,-0.10828856418105626,-0.08542745281813405,-0.33116078946226013,0.35796861415981035,-0.23807343173971932,-0.04106782596522203,-0.018604907765625803,0.23438084682934907,0.07564442409940846,0.37078736035187754,0.3172821855970124,-0.14527364632842946,-0.24276767799473326,-0.2297900403911336,-0.2577783124781626,-0.36393877667000285
2011-10-01,-0.10329669273055525,-0.08529113113158254,-0.10679034915036877,-0.2981320921820281,0.2929455814165395,-0.17869873223518434,-0.04617398834608008,0.09228923085882207,0.08152169921785624,0.09527521953530733,0.3151984714420498,0.2545206903547738,-0.22980760667047706,-0.37370194430891285,-0.3658641717766879,-0.3833135723475699,-0.31664494932966547
2012-01-01,-0.1022942314607654,-0.06770703162249991,-0.09143369003972432,-0.3031170614149015,0.28453433617145507,-0.185487774649592,-0.013265209076234845,0.08311517251245291,0.05784583476400673,0.11422444126950801,0.31834211974599985,0.2598224282552914,-0.2218909333086835,-0.3683087587321052,-0.35434992103652757,-0.36795068198267095,-0.36218878066530347
2012-04-01,-0.0994189063610712,0.1203598535954939,0.1957232944901812,-0.28140505156727685,0.36308459995497844,-0.09027221598852653,0.022512169226439116,0.16574105342684178,0.2848905675314542,0.2289528664414373,0.49364199421051164,0.44334197906941575,0.013975745665800204,-0.10623940684103542,0.031563509996355196,0.0058042649032154295,-0.32225444035394524
2012-07-01,-0.036909219459669185,0.21713878460723432,0.2842822913433159,-0.26565974752983695,0.33863217730626916,-0.06570081149293466,-0.010792777500529437,0.1031476963459477,0.3058142374270756,0.15429792735932268,0.3702810976614403,0.3275613897151012,0.03544833058230137,0.22783778015202888,0.3327205306616437,0.31008472156143824,-0.2204445006578038
2012-11-01,-0.030498771051366856,0.20472645202692918,0.28347868058760417,-0.2752879487202971,0.330691756259663,-0.07441436847718375,-0.005244593537792625,0.09368518298220709,0.32786980187019443,0.15834761077931642,0.3691793759705792,0.3267325904627065,0.02566806545433606,0.2373780311027443,0.32906530763033626,0.30115948045057417,-0.21378955508830041
2013-02-01,-0.04095557172099221,0.21648919259485525,0.28522505280439936,-0.2779547856071211,0.3345151005181801,-0.08774107513862009,0.01661330555053739,0.08228164064785283,0.32719744237114673,0.15284266160880783,0.36588136716589115,0.3251820080859732,0.02562742963902332,0.24802131293925145,0.3305890539441062,0.28079649248784616,-0.2141473083375841
2013-05-01,-0.06625996968067023,0.24695549857794613,0.2961200432782358,-0.26798931422444955,0.3410140865552864,-0.09395980437993569,0.06654996604255203,0.11507172458888686,0.3255177682242621,0.17770833225559823,0.3719761739460661,0.3230962069014874,0.0754472637439886,0.21333168209507958,0.2998334324881259,0.2516669445366433,-0.21814962213952271
2013-08-01,0.02095869438754388,0.06630718581804709,0.10171420381294219,-0.23477794815416314,0.261508346917048,-0.02260541458128064,0.02753311307413017,0.24319728471462357,0.16776466130559595,0.3552609727494461,0.5109031667511699,0.4385901901539674,-0.1286572624807129,-0.23951446345030353,-0.13059727817849368,-0.16690975879381378,-0.27262407648847753
2013-12-01,-0.016777805060272346,-0.07301591546802394,0.046575424008702744,-0.31243923714517013,0.30486198928610625,-0.012898465672866847,0.09106571119621709,0.17371984614319458,0.2599422547219881,0.2878518256299732,0.5016758805086567,0.39749637540023824,-0.10822465037471748,-0.1801038136310013,-0.08804945064407392,-0.1412370231484906,-0.3620215666776496
2014-03-01,0.1330883260520306,0.0033687258303252143,0.16835846704999946,-0.3222734339342303,0.26746759831841926,0.02927188313958981,0.13969762779003728,0.2516848228776597,0.26404402463799503,0.3184520779216429,0.4779919823438411,0.37906519242944253,-0.1513373603730595,-0.1565994302295676,-0.015312211813619567,-0.08998950533042183,-0.3094483667246011
2014-06-01,0.1932863466239288,0.1863220182955544,0.2608644872938745,-0.21635031184761425,0.13935930858985923,-0.03336915194907878,0.1495388681789644,0.30281899539443574,0.23335248075828868,0.3712439673238549,0.4678344956769656,0.39793533774837603,-0.17235559370406617,-0.1643233733919796,-0.01838744323059059,-0.0648361144266088,-0.21845701597308867
2014-10-01,0.15377919729572806,0.17084610761548435,0.28704240230227795,-0.22870964813460565,0.17789095222773688,-0.04447568361620617,0.08455116828551953,0.2661072578561953,0.2847396298407997,0.33501898145137077,0.48201243951455036,0.39963595478791064,-0.1686976701829731,-0.09597521062119665,-0.026940069354431155,-0.08017668319005532,-0.2658822977914569
2015-01-01,0.16490817894962867,0.16242155185031626,0.2510220413499079,-0.19482579175822795,0.12435774566606134,-0.06942442631655903,0.06966491324241303,0.3098464537283029,0.235678453971769,0.3771913162911403,0.48456851248570176,0.4141008533771655,-0.20374949065869546,-0.1310526319298268,-0.05630888378011911,-0.09088315463017979,-0.2238076952452129
2015-04-01,0.17622398363321132,0.18698876451224555,0.2630215899013189,-0.16346337169356748,0.15392564990894678,-0.16330684671351625,0.06443138412532498,0.2746472890563103,0.22906491618261282,0.3512380540362861,0.4440558460384421,0.3952811981902632,-0.23668854542608453,-0.18533504158252792,-0.14995736262065296,-0.15470256617394434,-0.2051159285317443
2015-07-01,0.07218793825832139,0.14677775697445233,0.18009954567744219,-0.1536807965476021,0.16598249621806097,-0.20181180752937944,0.08684839662353686,0.2560735624160996,0.20027385492776226,0.38109995213686604,0.46564165854148915,0.4079201760681123,-0.23382043114601342,-0.2164947169720664,-0.20070673730642055,-0.19524939557360207,-0.16517190409995577
2015-11-01,0.01801260627652048,0.12202879488380453,0.12528690561078848,-0.12608239776241897,0.18627713334551077,-0.1958628618046847,0.11075567601993389,0.248736149679014,0.2419073769642716,0.3857056360281591,0.48194317516189916,0.42008286374788095,-0.18508408655232797,-0.18669609786202893,-0.2130464811108719,-0.20155948729032386,-0.1866536397880154
2016-02-01,0.027962058940625076,0.06133121790228632,0.07887581201385133,-0.1627308491648985,0.22636458843351942,-0.1901066988779786,0.08049512037003159,0.25216849875598096,0.2569408961384605,0.3665797558279972,0.4847897586469565,0.4098237818993119,-0.1782591992235338,-0.19931608112231944,-0.2057469001528328,-0.2014997065911517,-0.21792392522457726
2016-05-01,0.048458313411173515,0.1412375212306657,0.14460794606982627,-0.07305999715359328,0.16969488501475108,-0.21044686450271965,0.1380154996645121,0.25597710540148144,0.1917304021214424,0.3959999991685509,0.4739603977825818,0.42229814208639666,-0.19876992468450044,-0.2247990400238592,-0.21760559501712257,-0.2063529648637064,-0.13141225753432145
2016-08-01,0.06912206976605857,0.12699237173723416,0.13085591628169563,-0.05258129060122895,0.20193309414553004,-0.16391785395263386,0.1601889711660624,0.27013192253757207,0.14021799837961413,0.41815235896195113,0.47308233106830255,0.42141410681773606,-0.2233528931006284,-0.26023576113893937,-0.2028664407665993,-0.16957341274134666,-0.09747250654828463
2016-12-01,0.05306488044513024,0.09818135489907871,0.1355464329485433,-0.045105623930209594,0.19241082772778692,-0.16226800523052248,0.18989262731700107,0.2582270080431332,0.15153086189070386,0.4107416467450642,0.4794622117899847,0.4257596758914831,-0.1963259993838006,-0.2681305619771406,-0.22011453791088886,-0.16938637804128473,-0.10314208494026243
2017-03-01,0.06662940157176492,0.13054335932476313,0.15890800183172066,-0.018051078054342883,0.1796973312842759,-0.16721926571147888,0.18970610537425348,0.26251127674285923,0.13077734041626995,0.39698934645904305,0.46485518324254266,0.4225930988642322,-0.20570478644007675,-0.27600438950276457,-0.23685560136991435,-0.19179391248313535,-0.08384797952009644
2017-06-01,0.05885893808224078,0.15202277749387233,0.17044625816250922,-0.035959917612032315,0.2028839296938536,-0.1710914898933022,0.1569694384527862,0.2582015406092124,0.1509254338351939,0.3901757777393628,0.4686973422176265,0.42046376403275815,-0.19962853980724019,-0.2659911873331329,-0.22766585135449954,-0.1870978380472932,-0.11142362771337702
2017-10-01,0.2206959173672448,-0.0031782117294347767,0.033205628714491106,-0.13600115439684443,0.3196535551834487,-0.14673971048261816,0.2238108280003353,0.2565247883026567,0.07383768959087934,0.3339431460783153,0.4485891768811967,0.41115419344449344,-0.17170178263080155,-0.20490733915030662,0.11652708865989309,-0.04282124159990708,-0.3434331099289497
2018-01-01,0.25851295374134314,-0.12537744695150022,-0.0447333520939375,-0.07417762063717678,0.2912731619457955,-0.15143301346005875,0.23769215611591993,0.2680144555908295,0.06769284669194225,0.3326017539371861,0.4177489035512199,0.3959945512495241,-0.1791263553377168,-0.2810363177241055,0.07326818247441859,-0.08742468394540681,-0.32130326826108124
2018-04-01,0.23364812290728623,-0.11688780355190798,-0.04019361652862491,-0.07056437389341319,0.29589366980340576,-0.14016403387008702,0.25025504348611594,0.28080013682725224,0.06317635345095071,0.328148144812756,0.42056950949897454,0.40099046983823994,-0.17119982529863897,-0.27416036426047274,0.09436194031976743,-0.06880749372725278,-0.3301804903818776
2018-07-01,0.23671128983346562,-0.08685381483496435,-0.03501814831497402,-0.052211990087073945,0.289837052874176,-0.12913850417033793,0.27650867302633436,0.2723305811778898,0.04442888547824077,0.3235628189866617,0.4230940017957312,0.41165556466494696,-0.13012738080001557,-0.27931893446401074,0.12022291514395357,-0.03608835300138709,-0.3395950123448441
2018-11-01,0.2327098123301422,-0.0866745341626064,-0.04534964030916011,-0.07364014549499981,0.3104536378462159,-0.12217851462300525,0.27671523986217045,0.25807932907340925,0.05807186854599215,0.32368080936883725,0.425033446818528,0.4142072236219386,-0.11062680348744437,-0.255762418575115,0.1450810880318651,-0.02095574193979173,-0.34185649006382285
2019-02-01,0.2798603994559816,-0.14126242448676118,-0.06631356138927913,-0.09040698895545371,0.25665931906702094,-0.1653681337994251,0.1857221824921221,0.19668905592816843,0.07183505525267249,0.3554003570012469,0.42732797444311743,0.4258630222132176,-0.15755585796205887,-0.3044982325312133,-0.029033064854314602,-0.15482426404731953,-0.29147476511889175
2019-05-01,0.31258904951030825,-0.19348412368556211,-0.07891746887627729,0.0018407590351788156,0.15331860153770552,-0.15362545651967036,0.1146216675096049,0.17342239848684593,0.059987366266068945,0.3629323787733484,0.4009936204594051,0.39771774866608123,-0.21441038425100645,-0.3645662701607509,-0.16139154034576725,-0.2581961163450469,-0.20594481387263208
2019-08-01,0.29524202610207395,-0.24968951846023935,-0.10826517216835341,0.06913254600065188,0.0967820936328073,-0.19211319408504907,0.0537247600585342,0.10029472297871159,0.08174221049134411,0.34515310040504943,0.35854648237338416,0.35663984876004523,-0.25008658751988777,-0.37635994514850135,-0.25381530587517204,-0.3226046234534689,-0.1432512621309069
2019-12-01,0.2707720892580458,-0.2623411115790071,-0.11269144014952576,0.022787931573282544,0.13916346037266297,-0.21323026791807329,0.03152790486374646,0.06690099587097088,0.1064403705350575,0.31878646334196215,0.34718411592797577,0.3411862059395811,-0.2849093821374503,-0.36422131549236897,-0.27477027947271215,-0.3354779866545998,-0.1502121519282169
2020-03-01,0.2800860916264174,-0.2730272030757547,-0.10997793185836602,0.026036523034851072,0.0816499143489679,-0.23827797142087603,0.00823564310114746,0.050278195479519255,0.10839118621365632,0.3031971813463199,0.3299402588448596,0.3209303596230178,-0.3031336085565107,-0.3689233949899296,-0.30106664587045856,-0.35164425577633346,-0.1018466722665897
2020-06-01,0.28379433768956186,-0.27233432566504334,-0.09927454558625576,0.03770277695894894,0.08094981981752553,-0.2415887964971517,0.005376409192942334,0.04436055694054572,0.1085111574530905,0.3024138359425921,0.32140935360448986,0.3162619605530663,-0.3162411530560973,-0.36726679547292657,-0.3023291444947344,-0.35531805006013306,-0.0894509668338675
2020-10-01,0.286855113728023,-0.3133983884915288,-0.14263529827119031,0.058966871080279495,0.05441924460403712,-0.2276406634718124,-0.0024075582992081623,0.022195531681526742,0.0991531534232418,0.29766331043930344,0.3066656154431349,0.3028229633458683,-0.31307097454130484,-0.37056384866252,-0.30158416018114903,-0.35292630093333227,-0.0732952124610573
2021-01-01,0.28849487298690407,-0.33533488279027124,-0.18236441892118502,0.06161545860948565,0.040369603688631836,-0.2122523131452314,-0.0134433472458994,0.02759641757043052,0.09928491843072709,0.287814334019732,0.28513205946010417,0.28212883793425547,-0.3331792235747576,-0.36600360635316587,-0.3055570085279068,-0.35296018947876623,-0.05603899808962577
2021-04-01,0.2679780591804246,-0.3359873045458981,-0.19354377800585137,0.04646290768390776,0.06099680044714745,-0.19306925283035353,-0.018934340595982105,0.020930471713207444,0.11253491072389436,0.31266319395527553,0.300968456946358,0.2986104853424628,-0.32015101332173546,-0.35985557303086124,-0.299339575124637,-0.3435048389897366,-0.06422057144641086
2021-07-01,0.2520582326969546,-0.3436220553571764,-0.2052998433474613,0.044660368537532344,0.060395044706474645,-0.18800109433821802,-0.02189110996625207,0.008302410232712748,0.11343274160285045,0.30618458688296024,0.29574730919799236,0.29536316506066074,-0.3252168809331272,-0.3596194647874179,-0.3057506514842655,-0.34800793579447903,-0.06083429094785458
2021-11-01,0.2526485911098451,-0.3459719533018428,-0.20442230407983578,0.04809649862647583,0.06313152156349691,-0.19496972610432586,-0.01970219655433421,0.004783862703614833,0.09661236607897172,0.3113832441212696,0.29714196913192586,0.29376975958067,-0.3214112637333646,-0.35967992641184354,-0.3040149109065009,-0.34652677714991464,-0.062388152989850634
